frame,id,cx,cy,w,h
497,100,636,31,18,11
498,100,620,46,19,9
499,100,611,50,19,9
500,100,602,52,18,9
501,100,594,53,18,9
502,100,588,52,19,9
503,100,582,51,18,8
504,100,577,51,17,9
505,100,572,51,17,8
506,100,566,51,17,9
507,100,560,51,17,9
508,100,554,50,16,8
509,100,549,50,16,9
510,100,543,50,16,9
511,100,537,51,15,9
512,100,530,55,14,10
513,100,521,59,13,9
514,100,514,60,13,9
515,100,514,60,13,9
516,100,503,66,12,9
517,100,498,68,12,10
518,100,492,70,11,10
519,100,486,73,12,10
520,100,482,76,10,10
521,100,479,77,9,11
522,100,475,80,9,11
523,100,470,85,9,11
524,100,467,88,9,11
525,100,465,88,9,10
526,100,463,89,9,11
527,100,461,89,9,10
528,100,459,88,9,11
529,100,457,87,10,10
530,100,454,89,10,10
531,100,449,95,10,11
532,100,442,101,10,12
533,100,434,106,10,12
534,100,434,106,10,12
535,100,413,125,8,10
536,100,401,134,7,12
537,100,389,145,6,10
538,100,376,156,6,11
539,100,364,164,5,10
540,100,352,171,6,13
541,100,340,178,6,14
542,100,327,183,6,13
543,100,316,188,6,12
544,100,305,191,7,13
545,100,293,195,7,11
546,100,282,197,7,14
547,100,273,200,11,14
548,100,262,202,11,14
549,100,253,204,10,14
550,100,245,204,11,16
551,100,235,207,10,16
552,100,227,210,9,14
553,100,227,210,9,14
554,100,211,214,11,14
555,100,205,215,11,14
556,100,198,215,12,14
557,100,190,214,10,14
558,100,182,214,12,15
559,100,173,214,13,14
560,100,165,212,14,14
561,100,157,208,13,14
562,100,148,205,15,14
563,100,139,202,14,15
564,100,133,200,14,14
565,100,127,199,15,13
566,100,124,199,16,13
567,100,124,200,18,15
568,100,125,202,16,15
569,100,127,205,18,16
570,100,130,208,15,17
571,100,130,208,15,17
572,100,137,215,15,16
573,100,141,218,14,16
574,100,145,222,15,15
575,100,149,226,14,15
576,100,154,229,14,16
577,100,161,235,12,17
578,100,170,242,8,10
579,100,178,245,7,5
580,100,178,246,6,5
581,100,178,246,7,6
582,100,179,246,6,6
583,100,180,247,5,5
584,100,179,248,6,5
585,100,179,248,16,16
586,100,179,249,16,16
587,100,180,250,16,16
588,100,180,250,16,16
589,100,175,256,5,4
